InputID,TargetID,Distance,Source
41.9065738-76.92537056---2010,def69ddd-d528-53f3-aa69-60ee4e4fe1a8,36.3956004324,Distance_Matrix-UTM18.csv
41.73430056-77.16470696---2010,ee305593-9e63-569b-9f94-a5506659ec14,116.456234648,Distance_Matrix-UTM18.csv
41.74847203-76.80525856---2010,e8c61813-9f99-5c3e-b47d-4f99c42caf05,135.236707077,Distance_Matrix-UTM18.csv
41.2759595-76.64983644---2010,2071ce08-1cbf-51b4-ac17-d36f7d4e8439,39.6533692566,Distance_Matrix-UTM18.csv
41.72624898-75.90319835---2008,bfb753ab-2301-5838-b6ed-86109c2f7c38,10.7250300967,Distance_Matrix-UTM18.csv
41.2553708-76.64459973---2010,8a7a60f3-aa6d-5829-bce0-b128720c10fc,37.5639828737,Distance_Matrix-UTM18.csv
41.79037269-77.33004819---2010,e4522050-966d-55c6-9769-5242fd5ae5be,39.3351801703,Distance_Matrix-UTM18.csv
41.70717579-76.31460629---2010,6885d5c2-17e1-5449-bdcb-657563adc1c8,710.991649971,Distance_Matrix-UTM18.csv
41.09179457-77.96880945---2008,05ee37b0-3e11-53ec-a522-ae8ba09b3d4f,75.2913431407,Distance_Matrix-UTM18.csv
41.80849318-76.36600918---2010,5bf23a7b-09ae-56f6-8668-652bbfb845c2,541.005562896,Distance_Matrix-UTM18.csv
41.72644016-75.89253745---2008,92689187-8064-5072-b355-e47ec74270a2,57.7520760163,Distance_Matrix-UTM18.csv
41.72925728-75.87189478---2008,4841c598-3f37-5656-8525-45990fb6c6ee,12.5063117807,Distance_Matrix-UTM18.csv
41.71494658-76.36594793---2008,fc6c2fc5-dd79-56f1-a035-a98989c335c5,35.8177886225,Distance_Matrix-UTM18.csv
41.59708579-75.57175492---2010,66d21ace-a345-574f-90d3-c4a1ea005454,192.252445411,Distance_Matrix-UTM18.csv
41.73935068-77.21563641---2010,02843959-49c4-54ad-86be-b44c59899be6,49.8284962837,Distance_Matrix-UTM18.csv
41.8468575-76.92333291---2010,3205d44b-7946-59dc-ba78-c629dc749445,90.1340009581,Distance_Matrix-UTM18.csv
41.69371809-77.35990027---2010,4ed45832-cc31-5d44-abf9-96f96de0d409,90.3329809738,Distance_Matrix-UTM18.csv
41.27457871-77.26790184---2008,4b8df70d-4e57-52f8-aedf-7911cae6109d,72.8187419021,Distance_Matrix-UTM18.csv
41.98793626-76.99046838---2010,bf599014-6c67-5ea3-8323-6eab1909ede3,62.5461011619,Distance_Matrix-UTM18.csv
41.73482152-77.37468586---2008,b25e423c-1787-5a92-a632-a4502427b1e8,44.7164715168,Distance_Matrix-UTM18.csv
41.27589822-77.27849922---2010,0db8e646-f536-5d87-a2f5-41a2460965f9,591.768912462,Distance_Matrix-UTM18.csv
41.79471677-76.22483434---2010,e4204dd5-8419-50e4-ab81-17f875a2e0d3,56.2155176127,Distance_Matrix-UTM18.csv
41.80892777-76.53915899---2010,499560c4-0060-5f96-b53e-4f4a5d246962,88.1588014268,Distance_Matrix-UTM18.csv
41.88901657-76.93721438---2010,0da98ab4-4a3f-526f-ae27-0f6dc68122a4,54.2602535721,Distance_Matrix-UTM18.csv
41.85096206-76.91785601---2010,76f89d92-798d-5a12-9caa-12b71b9da306,77.8439655745,Distance_Matrix-UTM18.csv
41.71293345-77.29027167---2010,1fd6b9c0-d059-5ed4-a225-65e18db4be05,118.665248275,Distance_Matrix-UTM18.csv
41.71242388-76.32013383---2010,6885d5c2-17e1-5449-bdcb-657563adc1c8,52.0738008389,Distance_Matrix-UTM18.csv
41.66899448-77.61391637---2010,89ab4bd9-5884-5939-9bdf-22e965440b2d,102.676032464,Distance_Matrix-UTM18.csv
41.71612487-76.19433625---2010,13e1e27d-ddd9-5e04-b5a2-a5d4c44e3f44,832.212887617,Distance_Matrix-UTM18.csv
