id,site_id,wms_url,county,year,location,n_unk_res,n_frk_res,n_oth_res,n_tot_res,crowd_sel,qaqc,p_crd_a,p_s_crd_a
14541,f7a2977d-2e69-50fe-86a2-801224c4f71a,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.9201693236-75.8157790424---2008,0,0,3,3,other,,100,None
14508,d4618e93-b222-5f33-8712-cfe9e0807632,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7516736753-75.9347144338---2008,0,0,3,3,other,,100,None
15890,6266514d-5598-5c33-934a-d201d581c323,https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0,Bradford,2005,41.7551716866-76.6324707343---2005,0,0,3,3,other,,100,None
14517,e0b6a2e1-eb11-55cb-8c50-ddbf7cbbb28f,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7220912423-75.8672129699---2008,0,0,3,3,other,,100,None
14472,c6c4fc6d-b3ee-5c20-9660-d2b3c2beae3a,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7442477985-75.9598215851---2008,0,0,3,3,other,,100,None
14502,d1994fc5-b546-59dc-ad51-8f7f0aadd326,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7386488594-75.8732320258---2008,0,0,3,3,other,,100,None
16662,bba13eff-2d88-5d80-831c-762709ff9ac5,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7650802721-76.4812613746---2008,0,0,3,3,other,,100,None
16677,beb6e3c0-cccc-52db-ab37-dc8a5236aad5,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6593609993-76.8140254898---2008,0,0,4,4,other,,100,None
16734,d234d6a2-74c4-5ca8-b76b-65a3a9469acf,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6210942883-76.4620851615---2008,0,0,3,3,other,,100,None
15759,26bf1b19-aa63-5107-9294-7651ce35674e,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7583937896-76.8492986749---2008,0,0,3,3,other,,100,None
