county,latitude,longitude,siteID,url,year
Bradford,41.5622,-76.3017,643396ef-ab4a-5d31-86d0-ec8ffb309d0b,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.3017_Y0041.5622.png,2008
Bradford,41.824,-76.2964,546cae7c-5851-5f17-99b1-ddb80fe29e86,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.2964_Y0041.8240.png,2005
Bradford,41.6148,-76.2962,d76996c0-5b62-5788-8339-58bd5ed23485,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.2962_Y0041.6148.png,2010
Bradford,41.5886,-76.2894,86abeeb8-8b9d-5e23-9476-43e61ea907e2,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.2894_Y0041.5886.png,2008
Bradford,41.726,-76.1785,092406bb-3c5d-52f3-9d43-02ebb34424ed,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1785_Y0041.7260.png,2005
Bradford,41.8349,-76.1779,cde1313e-99b1-5c9e-8951-3873aa7a5111,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1779_Y0041.8349.png,2010
Bradford,41.7541,-76.1767,af16ed31-d50f-56db-8f7d-0d25d536740c,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1767_Y0041.7541.png,2008
Wyoming,41.5969,-76.1744,1d50d2e3-37e4-5972-936a-182730e3cfd4,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2005/2005_X-076.1744_Y0041.5969.png,2005
Bradford,41.7747,-76.172,147f2381-f770-5a2d-b59f-801befebf43c,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1720_Y0041.7747.png,2010
Wyoming,41.6311,-76.168,78e507ee-078d-5339-93b2-467b42616189,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2008/2008_X-076.1680_Y0041.6311.png,2008
Wyoming,41.5968,-76.1523,1bb171ad-c74f-5f9e-b71b-5bfe57bb4d7d,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2005/2005_X-076.1523_Y0041.5968.png,2005
Bradford,41.7877,-76.1787,b3c1edb0-f8a4-5736-ba6d-bf2f2f44d5d2,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1787_Y0041.7877.png,2005
Bradford,41.726,-76.1785,092406bb-3c5d-52f3-9d43-02ebb34424ed,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1785_Y0041.7260.png,2010
Wyoming,41.627,-76.1774,9c795815-f104-52af-ab2d-280b708beaa2,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2008/2008_X-076.1774_Y0041.6270.png,2008
Bradford,41.6945,-76.1765,24a26465-6bd5-5456-bd41-82d666543f70,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1765_Y0041.6945.png,2005
Wyoming,41.5969,-76.1744,1d50d2e3-37e4-5972-936a-182730e3cfd4,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2010/2010_X-076.1744_Y0041.5969.png,2010
Bradford,41.9567,-76.1654,7402f4db-03e1-5560-bebd-eee8dabf20a4,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1654_Y0041.9567.png,2005
Bradford,41.7854,-76.1652,2134f52b-fbdf-5881-bd5a-b86d834b1098,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1652_Y0041.7854.png,2010
Bradford,41.7981,-76.1623,25527d06-02b4-5c87-af5a-8ae90954d84e,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1623_Y0041.7981.png,2008
Wyoming,41.6338,-76.1611,6c7c29bb-eec1-530a-a3b0-455469c2eadc,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2005/2005_X-076.1611_Y0041.6338.png,2005
Bradford,41.8877,-76.1609,15484f76-e345-583a-ae17-01ad23fc5daf,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1609_Y0041.8877.png,2010
Bradford,41.6633,-76.1597,c7e392eb-d22d-54da-a842-ee8c5cbc917d,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1597_Y0041.6633.png,2008
Bradford,41.8617,-76.1507,e537067b-9b58-5792-bfc4-5af2e4eb63eb,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1507_Y0041.8617.png,2010
Bradford,41.7448,-76.1503,2e15cb5a-e7a2-5d35-967f-929abfadd39e,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1503_Y0041.7448.png,2008
Bradford,41.9567,-76.1654,7402f4db-03e1-5560-bebd-eee8dabf20a4,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1654_Y0041.9567.png,2010
