lat,long,api,guid,perm_date,county,perm_date_1,status,operator,well_name
40.6727879,-81.0251901,"[""34019220730100"", ""34019220730100"", ""34019221400000"", ""34019221110000""]",773427dfca4b4afbaeb308be022e3595,,Carroll,,,,
40.68151268,-80.92522848,"[""34019220740000"", ""34019220740000"", ""34019221030000"", ""34019221180000"", ""34019221040000""]",6dd0d8ae208442b190098fafddac6e90,,Carroll,,,,
40.60201623,-81.00088324,"[""34019220750000"", ""34019220750000"", ""34019221240000"", ""34019221250000"", ""34019221230000"", ""34019221510000"", ""34019221530000""]",599663f004b5417a96c2034e14ba2757,,Carroll,,,,
40.60599277,-81.0224792,"[""34019220760100"", ""34019220760100"", ""34019221060000"", ""34019223020000"", ""34019221680000"", ""34019221070000"", ""34019223010000""]",2468ee67bfb742a6aa79f7cc41ffe2c7,,Carroll,,,,
40.5638235,-81.12962905,"[""34019220790000"", ""34019220790000"", ""34019220850000"", ""34019222930000"", ""34019221370000"", ""34019221100000"", ""34019222920000"", ""34019222910000""]",c62093c5de89480e90808405a73c0419,,Carroll,,,,
40.5777097,-81.0530082,"[""34019220810100"", ""34019220810100""]",c35380d036ac4d4b9e0c7002de2a2bf2,,Carroll,,,,
40.71975973,-81.03505785,"[""34019220820100"", ""34019220820100"", ""34019221090000"", ""34019221080000""]",603735c5b25b4a2783ff83622c67c3fb,,Carroll,,,,
40.7139268,-80.9613731,"[""34019220840100"", ""34019220840100""]",cebc007e9f8f4c749bf6cfe8a36a342f,,Carroll,,,,
40.531722,-81.0256461,"[""34019220880000"", ""34019220880000""]",f8a8e5631f214a3a903cf393e20bf9c8,,Carroll,,,,
40.53637627,-80.97316457,"[""34019220890100"", ""34019220890100"", ""34019225400000"", ""34019221020000"", ""34019225500000"", ""34019225510000""]",9e01d9a150ea4d369cf1e3eba5e6b2c3,,Carroll,,,,
40.5510599,-80.929966,"[""34019220900100"", ""34019220900100"", ""34019221690000""]",2870e7fb1fd14b25a5326dcde433ba7d,,Carroll,,,,
40.61091724,-81.04027468,"[""34019220910000"", ""34019220910000"", ""34019223350000"", ""34019223360000"", ""34019224480000"", ""34019223330000"", ""34019223370000"", ""34019223380000""]",e55fdbc9cd6b4abf8f84835575e1df94,,Carroll,,,,
40.53307172,-81.02660025,"[""34019220920000"", ""34019220920000"", ""34019224850000"", ""34019220950000"", ""34019224840000"", ""34019224870000""]",a56b159ddd564a16a1aaf86374158108,,Carroll,,,,
40.51000726,-81.02928005,"[""34019220960000"", ""34019220960000"", ""34019224910000"", ""34019221000000"", ""34019224900000"", ""34019220990000"", ""34019224570000"", ""34019224580000""]",c1bedda5a6bb48169cd035fa9364be1d,,Carroll,,,,
40.53106305,-81.01398297,"[""34019220970000"", ""34019220970000"", ""34019220980000"", ""34019221050000""]",1e0daf453b0c44bd968883b41901f29c,,Carroll,,,,
40.5371407,-80.9739386,"[""34019221010000"", ""34019221010000""]",cfcf68b7f3604664b66efb9c06d6b58d,,Carroll,,,,
40.6454353,-80.95990542,"[""34019221120000"", ""34019221120000"", ""34019223340000"", ""34019223390000"", ""34019222430000""]",d9d734ca7e8b4aaabc426d52c5c1a2db,,Carroll,,,,
40.46548387,-81.04189413,"[""34019221130000"", ""34019221130000"", ""34019221920000"", ""34019222070000"", ""34019222010000"", ""34019222020000"", ""34019221190100""]",086507ab56a14122b9b321d7dab2d877,,Carroll,,,,
40.44855464,-81.06073014,"[""34019221170000"", ""34019221170000"", ""34019222350000"", ""34019221930000"", ""34019221940000"", ""34019222330000"", ""34019222320000"", ""34019222340000"", ""34019222000000""]",123c7c4369ec4c0c9893335c0c7caccd,,Carroll,,,,
40.68207957,-80.93883387,"[""34019221210000"", ""34019221210000"", ""34019223420000""]",2b64108cbaa74280959bc07118616b96,,Carroll,,,,
40.4714231,-81.05956206,"[""34019221220000"", ""34019221220000"", ""34019224080000"", ""34019224100000"", ""34019223920000"", ""34019223930000"", ""34019223940000""]",2243805f55f542339f2dc5dc5c6d1c99,,Carroll,,,,
40.68597665,-81.00461558,"[""34019221260000"", ""34019221260000"", ""34019221710000"", ""34019225860000"", ""34019221270000"", ""34019223910000"", ""34019221280000"", ""34019225850000""]",811a5aa0d83249dd993a2d6fd38fe736,,Carroll,,,,
40.62858685,-80.9896578,"[""34019221310100"", ""34019221310100"", ""34019224110000"", ""34019224120000""]",b044d16730c14271a62ede4b661b0e1e,,Carroll,,,,
40.6413926,-81.051704,"[""34019221320100"", ""34019221320100""]",83939a4ebeb44233b12d564b1b39f870,,Carroll,,,,
40.6382757,-81.04808297,"[""34019221330100"", ""34019221330100"", ""34019222440000""]",ec779415a0d94a319c4a911adcd3a2b8,,Carroll,,,,
40.44140043,-80.96967959,"[""34019221340000"", ""34019221340000"", ""34019221340100"", ""34019221380100"", ""34019225550000"", ""34019225570000"", ""34019221480000"", ""34019225560000""]",e78ce563b01c4d7db7f87bfa3b3a30f7,,Carroll,,,,
40.51924233,-80.97037819,"[""34019221350000"", ""34019221350000"", ""34019222130000"", ""34019221440000"", ""34019221950000"", ""34019221980000"", ""34019222030000""]",86075c43cbeb40afa221612224921375,,Carroll,,,,
40.50237619,-81.00220794,"[""34019221360000"", ""34019221360000"", ""34019223950000"", ""34019221390100"", ""34019223970000"", ""34019223960000"", ""34019221610000""]",880b7cfc3f4b4d03829b461292d2ff33,,Carroll,,,,
40.44070386,-81.03754326,"[""34019221420000"", ""34019221420000"", ""34019221750000"", ""34019221840000"", ""34019222150000"", ""34019221850000"", ""34019221830000""]",2b7f17ff89984bfd80c0c0bccfbb87aa,,Carroll,,,,
40.5442563,-81.0078073,"[""34019221430000"", ""34019221430000""]",9d4bdbe4459f47b590efeb29820b5abb,,Carroll,,,,
40.62775843,-80.89539003,"[""34019221450000"", ""34019221450000"", ""34019221630100""]",599995985b9a4eb99c3ba88522a00bdd,,Carroll,,,,
40.64127037,-80.9699873,"[""34019221460000"", ""34019221460000"", ""34019221700000""]",3f58780526e34265b5d74a974e446b19,,Carroll,,,,
40.5359417,-81.1408279,"[""34019221470000"", ""34019221470000"", ""34019221470100""]",ad4d239c8fbc48559935767076450e35,,Carroll,,,,
40.48518351,-80.96345867,"[""34019221500000"", ""34019221500000"", ""34019221990000"", ""34019222040000"", ""34019222050000"", ""34019221820000"", ""34019221810000""]",1f0a303ac3cb42ffa416c8b3f24a9fa8,,Carroll,,,,
40.45942151,-81.00907664,"[""34019221570000"", ""34019221570000"", ""34019222610000"", ""34019221580000"", ""34019222630000"", ""34019221590000"", ""34019222620000""]",408d2f81fd8c4db6995979439bc514c9,,Carroll,,,,
40.45025286,-81.01557559,"[""34019221600000"", ""34019221600000"", ""34019221880000"", ""34019222420000"", ""34019221790000"", ""34019222060000"", ""34019222390000""]",3081eef101ed44d2a1f8eabbde962a8f,,Carroll,,,,
40.44954109,-80.9613212,"[""34019221620000"", ""34019221620000"", ""34019225420000"", ""34019221800000"", ""34019225490000"", ""34019225410000"", ""34019222230000""]",3440e4e71e444fb8b3a6884102552a4e,,Carroll,,,,
40.52971673,-81.12839591,"[""34019221640000"", ""34019221640000"", ""34019221760000"", ""34019221650000"", ""34019221770000"", ""34019222380000"", ""34019221720000""]",8b54daaf33684fa0b9c0ea48d28fea81,,Carroll,,,,
40.6424053,-80.89599493,"[""34019221660000"", ""34019221660000"", ""34019224730000""]",d8e7e1dce46642a4bbacb805050ff6d7,,Carroll,,,,
40.47183133,-80.9928166,"[""34019221730000"", ""34019221730000"", ""34019222190000"", ""34019222220000"", ""34019222170000"", ""34019222180000""]",c33249ea3cf44327b4f9bf93a85d7bd9,,Carroll,,,,
