InputID,TargetID,Distance
40.23513029-79.74489197---2008,af59fba7-0207-5f02-96ee-64922d08f6b9,0.000579480953267
41.72624898-75.90319835---2008,bfb753ab-2301-5838-b6ed-86109c2f7c38,0.000115413342958
40.2285796-80.3222106---2008,ee98eb6b-1fe5-5535-8f7b-7bbefe950f27,0.000517102366683
41.09179457-77.96880945---2008,05ee37b0-3e11-53ec-a522-ae8ba09b3d4f,0.00079092811617
39.96918732-79.83859001---2008,be9c2ffc-949e-5e2b-bf1c-16f549fd94f8,0.000147477709863
41.72644016-75.89253745---2008,92689187-8064-5072-b355-e47ec74270a2,0.000693549182616
39.87157686-80.05922698---2008,01afb6ea-6e59-5866-a511-68ef624204ef,0.000514226541546
41.72925728-75.87189478---2008,4841c598-3f37-5656-8525-45990fb6c6ee,0.000130082246385
41.71494658-76.36594793---2008,fc6c2fc5-dd79-56f1-a035-a98989c335c5,0.000430316424139
41.57263835-78.62843561---2008,5238e27f-1377-5176-a4a8-0f48e06b5a90,0.00038641263539
39.91537957-79.9901167---2008,cf4ae599-0dbc-58ae-be8a-01fe8a6ac27f,0.000333523360067
39.90265136-79.95550353---2008,0445268b-58ce-50e4-a7d9-b6ee336fc511,0.000325651112465
40.249402-79.74736451---2008,1a2b7250-9275-57bd-9f2e-bc9fef5f138e,0.0026345245865
40.17946568-80.40694503---2008,47ea359a-1f22-5622-908d-6d0dbbcda56b,0.00047428031555
41.27457871-77.26790184---2008,4b8df70d-4e57-52f8-aedf-7911cae6109d,0.000868973789358
41.73482152-77.37468586---2008,b25e423c-1787-5a92-a632-a4502427b1e8,0.000536316480205
40.36972519-79.49738639---2008,aabf6368-b86d-590f-bf54-9a754acbc219,0.000610293697675
40.35984399-79.34034677---2008,d9bb8f9f-c689-565a-952a-09e3ee487e9a,0.000616626507962
39.94064702-80.26374721---2008,31579713-1f0f-5a33-9cfa-ae67342cb92a,0.000978973945975
