InputID,TargetID,Distance,Source
40.20741322-80.38647978---2010,4b0152c9-6f35-5ad5-ae14-3c4a6afa8d06,39.8502614511,Distance_Matrix-UTM17.csv
40.20741322-80.38647978---2010,4b0152c9-6f35-5ad5-ae14-3c4a6afa8d06,39.8502614511,Distance_Matrix-UTM17.csv
40.20741322-80.38647978---2010,4b0152c9-6f35-5ad5-ae14-3c4a6afa8d06,39.8502614511,Distance_Matrix-UTM17.csv
40.23513029-79.74489197---2008,af59fba7-0207-5f02-96ee-64922d08f6b9,49.3315896247,Distance_Matrix-UTM17.csv
40.23513029-79.74489197---2008,af59fba7-0207-5f02-96ee-64922d08f6b9,49.3315896247,Distance_Matrix-UTM17.csv
40.23513029-79.74489197---2008,af59fba7-0207-5f02-96ee-64922d08f6b9,49.3315896247,Distance_Matrix-UTM17.csv
40.38491917-79.49932032---2010,cd536918-95a7-5082-965e-72d5afb44db3,132.415105555,Distance_Matrix-UTM17.csv
40.38491917-79.49932032---2010,cd536918-95a7-5082-965e-72d5afb44db3,132.415105555,Distance_Matrix-UTM17.csv
40.38491917-79.49932032---2010,cd536918-95a7-5082-965e-72d5afb44db3,132.415105555,Distance_Matrix-UTM17.csv
40.29175774-78.7797371---2010,592852f6-aad4-507f-a839-a0195d5e1be8,59.9719820164,Distance_Matrix-UTM17.csv
40.29175774-78.7797371---2010,592852f6-aad4-507f-a839-a0195d5e1be8,59.9719820164,Distance_Matrix-UTM17.csv
40.29175774-78.7797371---2010,592852f6-aad4-507f-a839-a0195d5e1be8,59.9719820164,Distance_Matrix-UTM17.csv
41.0843343-78.02022624---2010,5e4078fe-23cf-500d-a217-0d3f41e5c998,39.2112929891,Distance_Matrix-UTM17.csv
41.0843343-78.02022624---2010,5e4078fe-23cf-500d-a217-0d3f41e5c998,39.2112929891,Distance_Matrix-UTM17.csv
41.0843343-78.02022624---2010,5e4078fe-23cf-500d-a217-0d3f41e5c998,39.2112929891,Distance_Matrix-UTM17.csv
39.97681915-79.43654121---2010,799c4dd7-92ca-56d4-9c6c-89aa9af56022,125.618218671,Distance_Matrix-UTM17.csv
39.97681915-79.43654121---2010,799c4dd7-92ca-56d4-9c6c-89aa9af56022,125.618218671,Distance_Matrix-UTM17.csv
39.97681915-79.43654121---2010,799c4dd7-92ca-56d4-9c6c-89aa9af56022,125.618218671,Distance_Matrix-UTM17.csv
40.01092713-80.01870273---2010,7415c6fe-94e4-51c8-8a58-325bad83b3c1,70.2672781555,Distance_Matrix-UTM17.csv
40.01092713-80.01870273---2010,7415c6fe-94e4-51c8-8a58-325bad83b3c1,70.2672781555,Distance_Matrix-UTM17.csv
40.01092713-80.01870273---2010,7415c6fe-94e4-51c8-8a58-325bad83b3c1,70.2672781555,Distance_Matrix-UTM17.csv
40.27432791-80.21686239---2010,9597f84a-a2ab-5413-8ac6-07881876f695,49.292421792,Distance_Matrix-UTM17.csv
40.27432791-80.21686239---2010,9597f84a-a2ab-5413-8ac6-07881876f695,49.292421792,Distance_Matrix-UTM17.csv
40.27432791-80.21686239---2010,9597f84a-a2ab-5413-8ac6-07881876f695,49.292421792,Distance_Matrix-UTM17.csv
40.38435037-79.49918072---2010,cd536918-95a7-5082-965e-72d5afb44db3,139.855646838,Distance_Matrix-UTM17.csv
