"41.70368184-75.88149851---2010",3
"41.71298355-75.94740351---2010",3
"41.73953693-75.89212924---2010",3
"41.7322556-75.87254204---2010",3
"41.74442141-75.95202218---2010",3
"41.70838191-75.88014045---2010",3
"41.71730653-75.94403634---2010",3
"41.78322971-76.67649156---2010",3
"41.57844349-76.02902449---2010",3
"41.63483622-76.16084223---2010",3
"41.57898294-76.03865911---2010",3
"41.56123631-76.10981559---2010",3
"41.62969863-76.17344659---2010",3
"41.64079097-75.81107242---2010",3
"41.63276903-76.15876577---2010",3
"41.58100629-76.02559184---2010",3
"41.72309121-76.81518584---2005",3
"41.72574703-76.19989712---2005",3
"41.70915608-76.32085444---2005",3
"41.69702458-76.44271627---2005",3
"41.67649689-76.2628674---2005",3
"41.72025084-76.19797394---2005",3
"41.715052-76.41601824---2005",3
"41.86285295-76.58466827---2005",3
"41.75052425-76.84584935---2005",3
"41.76788488-76.24769123---2005",3
"41.75366292-76.13757298---2005",3
"41.73218529-76.82334881---2005",3
"41.74928019-76.75462865---2005",3
"41.74122219-76.65221282---2005",3
"41.71314892-76.15151103---2005",3
"41.84656777-76.38944048---2005",3
"41.66723846-76.36301808---2005",3
"41.76399743-76.81802587---2005",3
"41.68401475-76.29850702---2005",3
"41.71288047-76.30448288---2010",3
"41.71157376-76.13093054---2010",3
"41.62716772-76.42702457---2010",3
"41.75160933-76.83623154---2010",3
"41.7564078-76.47009354---2010",3
"41.62934132-76.40915595---2010",3
"41.72763115-76.6949434---2010",3
"41.77311417-76.22433585---2010",3
"41.85787408-76.68948361---2010",3
"41.73314604-76.60446585---2010",3
"41.78898523-76.31193799---2010",3
"41.72829999-76.81689656---2010",3
"41.71448605-76.42295947---2010",3
"41.77500346-76.65559847---2010",3
"41.68099921-76.3104054---2010",3
"41.75061067-76.84583221---2010",3
"41.75019744-76.7748964---2010",3
"41.68499884-76.64927722---2010",3
"41.76982239-76.85937048---2010",3
"41.59246935-75.5623455---2005",3
"41.54846226-76.48293317---2010",3
"41.52121381-76.34605218---2010",3
"41.55442139-76.46739187---2010",3
"41.55489724-76.46792326---2010",3
"41.55903164-76.46443257---2010",3
"41.55387704-76.4614668---2010",3
"41.55096919-76.47117139---2010",3
"41.55060444-76.42166301---2010",3
"41.547611-76.43310225---2010",3
"41.65776275-76.02922733---2008",3
"41.86521849-76.02072252---2008",3
"41.7121834-75.59431172---2008",3
"41.78108768-76.11755491---2008",3
"41.72968957-75.87843001---2008",3
"41.70564789-75.86612645---2008",3
"41.68007531-76.0458448---2008",3
"41.72498748-75.92102199---2008",3
"41.73548272-75.89620131---2008",3
"41.68390938-75.96821615---2008",3
"41.74691062-75.94732563---2008",3
"41.83103671-76.07173897---2008",3
"41.77597555-75.95241994---2008",3
"41.72925728-75.87189478---2008",3
"41.74334339-76.02325829---2008",3
"41.9313312-75.87307459---2008",3
"41.71101274-76.08377357---2008",3
"41.7474563-75.99718748---2008",3
"41.73356027-76.08514753---2008",3
"41.69029396-75.93581946---2008",3
"41.65289946-76.03477961---2008",3
"41.93572746-75.87240363---2008",3
"41.66841111-75.67485415---2010",3
"41.67155307-75.85537104---2010",3
"41.77034315-76.07677737---2010",3
"41.78702082-76.11376629---2010",3
"41.7120755-75.88707884---2010",3
"41.68183656-76.09392809---2010",3
"41.73164635-75.92001573---2010",3
"41.67862831-75.87808164---2010",3
"41.73005693-75.88404538---2010",3
"41.70630902-76.08896428---2010",3
"41.86131909-76.0231176---2010",3
"41.6777945-76.07358298---2010",3
"41.74923994-75.92467367---2010",3
"41.71228804-75.94218512---2010",3
"41.76422823-75.97308801---2010",3
"41.69634677-75.91497579---2010",3
"41.88628205-75.6620535---2010",3
"41.78125894-76.11736651---2005",3
"41.72105278-75.89437128---2005",3
"41.74319516-76.02327132---2005",3
"41.67867067-76.06520923---2005",3
"41.74559817-75.90426936---2005",3
"41.93555586-75.86905562---2005",3
"41.68004013-76.04587979---2005",3
"41.71207704-75.9230867---2005",3
"41.72495079-75.92136507---2005",3
"41.71426142-75.89042908---2005",3
"41.72997882-75.88403543---2005",3
"41.77740231-75.94534547---2005",3
"41.77593551-75.95256904---2005",3
"41.73422205-75.88345113---2005",3
"41.73699735-75.88771082---2005",3
"41.7837383-76.11068363---2005",3
"41.76632763-75.94013922---2005",3
"41.72482002-75.90648166---2005",3
"41.87978189-76.10463459---2005",3
"41.68622945-75.97009091---2005",3
