id,site_id,wms_url,county,year,location,n_unk_res,n_frk_res,n_oth_res,n_tot_res,crowd_sel,qaqc,p_crd_a,p_s_crd_a
0,6e7fe2db-0988-51a7-a748-60e06454e1e2,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wayne,2008,41.68454581-75.36596918---2008,0,3,0,3,fracking,,100,None
0,be2d9c72-c91f-57a1-8f0c-d0912c83cbec,https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0,Wayne,2005,41.89146173-75.40584835---2005,0,0,3,3,other,,100,None
0,54f48c9e-216a-5b78-888d-3a46f6b0a3cf,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Wayne,2010,41.93355889-75.46690266---2010,0,0,3,3,other,,100,None
0,54f48c9e-216a-5b78-888d-3a46f6b0a3cf,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Wayne,2010,41.9338899-75.46855906---2010,0,0,3,3,other,,100,None
0,79d50c9e-c524-551c-a19c-7d435a1a06c1,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wyoming,2008,41.60471462-76.08655565---2008,0,0,3,3,other,,100,None
0,66bd0247-4b42-536b-94f7-a8d6072ffb98,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wyoming,2008,41.57897446-76.03869309---2008,2,0,1,3,unknown,,66,None
0,66bd0247-4b42-536b-94f7-a8d6072ffb98,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Wyoming,2010,41.57725209-76.04366521---2010,0,1,2,3,other,,66,None
0,6c7c29bb-eec1-530a-a3b0-455469c2eadc,https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0,Wyoming,2005,41.63478583-76.16084125---2005,0,0,3,3,other,,100,None
0,0ebc4944-0bd9-5290-91e1-06cea9174d78,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Susquehanna,2010,41.77080612-76.1029493---2010,0,3,0,3,fracking,,100,None
0,6d9bdfd1-d043-54e0-bdc9-39bbce3d2fdd,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Susquehanna,2010,41.76930883-76.10287618---2010,1,0,2,3,other,,66,None
0,03ca309a-5b09-5f27-83d9-f6ffad0ef52b,https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0,Susquehanna,2005,41.7145849-76.04977602---2005,0,0,3,3,other,,100,None
